Run ID,Model,Benchmark,Status,Progress,Correct,Total,Accuracy,Avg TPS,Avg TTFT,Avg Tokens,Total Tokens,Duration,Batch,Created
26,qwen3.5-9b,MMMU-Pro,HALTED,0/1200,0,0,0%,0.0,0.0,0.0,0,16s,,2026-07-07 00:43
25,qwen3.5-9b,MMMU-Pro,RUNNING,2/5,1,2,50.0%,23.5,8.806,8137.0,16274,In Progress,,2026-07-07 00:38
21,google/gemma-4-12b-qat,HumanEval,HALTED,0/5,0,0,0%,0.0,0.0,0.0,0,8s,,2026-07-06 23:37
16,google/gemma-4-12b-qat,MMMU-Pro,HALTED,0/0,0,0,0%,0.0,0.0,0.0,0,33s,,2026-07-06 23:29
13,qwen_qwen3.5-0.8b,HumanEval,COMPLETED,5/5,0,5,0.0%,86.9,0.598,7.0,35,3s,,2026-07-06 14:25
12,qwen_qwen3.5-0.8b,HumanEval,HALTED,1/5,0,1,0.0%,62.3,0.173,1.0,1,0s,,2026-07-06 14:25
11,qwen_qwen3.5-0.8b,BenchMax Lite,FAILED,11/50,9,11,81.8%,106.6,0.613,2033.7,22371,3m 17s,,2026-07-06 14:22
10,qwen_qwen3.5-0.8b,BenchMax Lite,COMPLETED,50/50,34,51,66.7%,82.8,0.155,441.8,22532,3m 24s,8cce2dd6-00b5-432f-829d-50e83bb37bc3,2026-07-05 20:42
9,qwen_qwen3.5-0.8b,Writing Speed Test,COMPLETED,5/5,5,5,100.0%,136.5,0.136,186.2,931,17s,8cce2dd6-00b5-432f-829d-50e83bb37bc3,2026-07-05 20:42
8,qwen_qwen3.5-0.8b,Coding Speed Test,COMPLETED,5/5,5,5,100.0%,108.8,0.604,151.2,756,10s,8cce2dd6-00b5-432f-829d-50e83bb37bc3,2026-07-05 20:42
6,ornith-1.0-9b,Speed Test,HALTED,3/15,3,3,100.0%,37.0,0.258,225.3,676,22s,,2026-07-05 10:01
5,ornith-1.0-9b,Speed Test,COMPLETED,15/15,15,15,100.0%,21.3,0.358,1766.7,26501,16m 54s,,2026-07-05 09:43
3,ornith-1.0-9b,LiveBench,HALTED,36/1436,0,36,0.0%,30.5,1.105,5114.7,184128,151m 0s,35479e19-b421-4762-bb96-217beabe4008,2026-07-04 11:45
2,ornith-1.0-9b,BigCodeBench-Hard,COMPLETED,148/148,6,148,4.1%,37.2,0.703,1396.6,206693,96m 20s,35479e19-b421-4762-bb96-217beabe4008,2026-07-04 11:45
1,ornith-1.0-9b,Aider Polyglot,HALTED,21/225,0,21,0.0%,36.0,2.419,4289.6,90081,150m 37s,35479e19-b421-4762-bb96-217beabe4008,2026-07-04 11:45
